Country,Region,Constituency,Station
The Gambia,Janjanbureh,Niani,Dingirai
The Gambia,Janjanbureh,Niani,Gingory Mustapha
The Gambia,Janjanbureh,Niani,Jakaba
The Gambia,Janjanbureh,Niani,Jockul Ndowen (Nodwen Angalleh)
The Gambia,Janjanbureh,Niani,Kass Wollof
The Gambia,Janjanbureh,Niani,Kataba Alh. Omar
The Gambia,Janjanbureh,Niani,Kayai
The Gambia,Janjanbureh,Niani,Kuntaur Wharf Town
The Gambia,Janjanbureh,Niani,Mbayen Wollof
The Gambia,Janjanbureh,Niani,Nyanga Bantang
The Gambia,Janjanbureh,Niani,Safalu
The Gambia,Janjanbureh,Niani,Sait Maram
The Gambia,Janjanbureh,Niani,Sukuta
The Gambia,Janjanbureh,Niani,Wassu
The Gambia,Janjanbureh,Nianija,Bakadagi
The Gambia,Janjanbureh,Nianija,Buduck
The Gambia,Janjanbureh,Nianija,Chamen
The Gambia,Janjanbureh,Nianija,Kerr Jebel
The Gambia,Janjanbureh,Nianija,Palaeili
The Gambia,Janjanbureh,Sami,Banni
The Gambia,Janjanbureh,Sami,Baya Ba (Baya Edi Bah)
The Gambia,Janjanbureh,Sami,Changai Wollof
The Gambia,Janjanbureh,Sami,Dobo
The Gambia,Janjanbureh,Sami,Jamali Ganyado
The Gambia,Janjanbureh,Sami,Jarumeh Koto
The Gambia,Janjanbureh,Sami,Karantaba
The Gambia,Janjanbureh,Sami,Kibiri
The Gambia,Janjanbureh,Sami,Kunting
The Gambia,Janjanbureh,Sami,Lamin Koto
The Gambia,Janjanbureh,Sami,Ranerou Samba Ngai
The Gambia,Janjanbureh,Sami,Sami Medina
The Gambia,Janjanbureh,Sami,Sami Njalal Samba (Toro)
The Gambia,Janjanbureh,Sami,Sami Pachonki
The Gambia,Janjanbureh,Sami,Tabanani
The Gambia,Janjanbureh,Sami,Tandi  Mandinka
The Gambia,Janjanbureh,Sami,Yorna Musa
The Gambia,Janjanbureh,Upper Fulladu West,Bansang  A
