Region,Constituency,Station,Registered,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Pakau Ba (Pakau Njogu) Health Centre,1240,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Passy Bantaba,489,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Prince Bantaba,356,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Sami Koto Seed Store,463,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Sika Health Centre,586,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Sitanunku Bantaba,1089,,,,,,,,,,,,,,,
Mansakonko,Jarra Central,Buiba,607,,,,,,,,,,,,,,,
Mansakonko,Jarra Central,Diganteh,1098,,,,,,,,,,,,,,,
Mansakonko,Jarra Central,Foroyaa Fula,521,,,,,,,,,,,,,,,
Mansakonko,Jarra Central,Jalambereh,1349,,,,,,,,,,,,,,,
Mansakonko,Jarra Central,Japinneh  Tembeto,623,,,,,,,,,,,,,,,
Mansakonko,Jarra Central,Japinneh Marikoto,902,,,,,,,,,,,,,,,
Mansakonko,Jarra Central,Naneko,509,,,,,,,,,,,,,,,
Mansakonko,Jarra Central,Wellingara. (Sita Huma),372,,,,,,,,,,,,,,,
Mansakonko,Jarra East,Barrow Kunda,551,,,,,,,,,,,,,,,
Mansakonko,Jarra East,Barrow Kunda Suwareh Kunda,779,,,,,,,,,,,,,,,
Mansakonko,Jarra East,Bureng,1003,,,,,,,,,,,,,,,
Mansakonko,Jarra East,Darsilameh,404,,,,,,,,,,,,,,,
Mansakonko,Jarra East,Dingirai,1025,,,,,,,,,,,,,,,
Mansakonko,Jarra East,Dongoroba,1266,,,,,,,,,,,,,,,
Mansakonko,Jarra East,Jasong,719,,,,,,,,,,,,,,,
Mansakonko,Jarra East,Madina,487,,,,,,,,,,,,,,,
Mansakonko,Jarra East,Nyawurulung,850,,,,,,,,,,,,,,,
Mansakonko,Jarra East,Pakaliba,811,,,,,,,,,,,,,,,
Mansakonko,Jarra East,Sukuta,369,,,,,,,,,,,,,,,
Mansakonko,Jarra East,Sutukung,908,,,,,,,,,,,,,,,
Mansakonko,Jarra East,Wellingara Ba,1824,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Diganteh,1081,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Fonkoi Kunda,269,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Jabisa,164,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Jenoi,579,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Kanikunda,733,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Karantaba,879,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Missera,1510,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Pakalinding,1068,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Sankwia,893,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Sare Saidy,255,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Seno Bajonki,822,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Si-Kunda,650,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Soma  Angalfuta,1192,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Soma Misera,1260,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Soma New Town,1168,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Soma Sateba,1327,,,,,,,,,,,,,,,
Mansakonko,Jarra West,Toniataba,1195,,,,,,,,,,,,,,,
Mansakonko,Kiang Central,Jiroff,543,,,,,,,,,,,,,,,
Mansakonko,Kiang Central,Kwinella. Nya Kunda,908,,,,,,,,,,,,,,,
Mansakonko,Kiang Central,Kwinella. Sansang Kono,771,,,,,,,,,,,,,,,
Mansakonko,Kiang Central,Madina Angalleh,1445,,,,,,,,,,,,,,,
Mansakonko,Kiang Central,Nema,1203,,,,,,,,,,,,,,,
Mansakonko,Kiang Central,Nema Kuta,398,,,,,,,,,,,,,,,
Mansakonko,Kiang Central,Sare Sarjo,520,,,,,,,,,,,,,,,
Mansakonko,Kiang Central,Sibito,760,,,,,,,,,,,,,,,
Mansakonko,Kiang Central,Wurokang,452,,,,,,,,,,,,,,,
Mansakonko,Kiang East,Geniere,539,,,,,,,,,,,,,,,
Mansakonko,Kiang East,Jomarr,307,,,,,,,,,,,,,,,
Mansakonko,Kiang East,Kaiaf,1230,,,,,,,,,,,,,,,
Mansakonko,Kiang East,Kolior,520,,,,,,,,,,,,,,,
Mansakonko,Kiang East,Madina Sinchu,1008,,,,,,,,,,,,,,,
Mansakonko,Kiang East,Massembeh,614,,,,,,,,,,,,,,,
Mansakonko,Kiang East,Njolofen,523,,,,,,,,,,,,,,,
Mansakonko,Kiang East,Toranka Bantang,312,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Batelling,270,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Burong,607,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Dumbutu,532,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Jali,789,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Janneh Kunda,381,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Jattaba,738,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Jiffarong,1266,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Jissay,133,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Joli,311,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Kantong Kunda,351,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Karantaba,774,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Kemoto,121,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Keneba,1004,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Kuli Kunda,494,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Manduar,511,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Nioro Jattaba,1193,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Sankandi,367,,,,,,,,,,,,,,,
Mansakonko,Kiang West,Tankular,539,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
