Region,Constituency,Station,Registered,,,,,,,,,,,,,,,
Basse,Wulli West,Koli Bantang,767,,,,,,,,,,,,,,,
Basse,Wulli West,Limbambulu Yamadou,542,,,,,,,,,,,,,,,
Basse,Wulli West,Madina Koto,575,,,,,,,,,,,,,,,
Basse,Wulli West,Perai Mamadi (Bajonkoto),449,,,,,,,,,,,,,,,
Basse,Wulli West,Sare Ngai,1144,,,,,,,,,,,,,,,
Basse,Wulli West,Sutukonding,951,,,,,,,,,,,,,,,
Basse,Wulli West,Taibatou,767,,,,,,,,,,,,,,,
Basse,Wulli West,Tuba Wulli,730,,,,,,,,,,,,,,,
Brikama,Brikama North,Bafuloto Bantaba,1177,,,,,,,,,,,,,,,
Brikama,Brikama North,Bafuloto Nema Su,1344,,,,,,,,,,,,,,,
Brikama,Brikama North,Brikama Darukhairu Mosque,2466,,,,,,,,,,,,,,,
Brikama,Brikama North,Brikama Kabafita Mosque,2932,,,,,,,,,,,,,,,
Brikama,Brikama North,Brikama Misira Mosque,1875,,,,,,,,,,,,,,,
Brikama,Brikama North,Brikama Nema Geebungoto (Comm Dev.),1214,,,,,,,,,,,,,,,
Brikama,Brikama North,Brikama Nemataba Girl Guides Centre,1028,,,,,,,,,,,,,,,
Brikama,Brikama North,Brikama Nyambai Baba Galleh Mosque,2487,,,,,,,,,,,,,,,
Brikama,Brikama North,Brikama Nyambai College Market,2489,,,,,,,,,,,,,,,
Brikama,Brikama North,Brikama Nyambai Jambarr Sanneh (Methodist Sch Gate),1810,,,,,,,,,,,,,,,
Brikama,Brikama North,Brikama Wellingara Praying Grounds,2961,,,,,,,,,,,,,,,
Brikama,Brikama North,Busuranding Bantaba,608,,,,,,,,,,,,,,,
Brikama,Brikama North,Farato Bojang Kunda (Sotokoi Daru) Bantaba,2177,,,,,,,,,,,,,,,
Brikama,Brikama North,Jalambang Mosque,2763,,,,,,,,,,,,,,,
Brikama,Brikama North,Jamisa Bantaba,2069,,,,,,,,,,,,,,,
Brikama,Brikama North,Kassakunda Bantaba,851,,,,,,,,,,,,,,,
Brikama,Brikama North,Kembujeh Bantaba,2172,,,,,,,,,,,,,,,
Brikama,Brikama North,Kembujeh Medina Sch Ground,1227,,,,,,,,,,,,,,,
Brikama,Brikama North,Kubuneh Skill Centre,1310,,,,,,,,,,,,,,,
Brikama,Brikama North,New Town North (Mother Ali Nur. Sch.),887,,,,,,,,,,,,,,,
Brikama,Brikama North,Serekunda Nding Skill Centre,444,,,,,,,,,,,,,,,
Brikama,Brikama North,Taibatou Bantaba,464,,,,,,,,,,,,,,,
Brikama,Brikama South,Bakary Sambou Yaa Mosque,1438,,,,,,,,,,,,,,,
Brikama,Brikama South,Brikama  Perseverance Praying Ground,2272,,,,,,,,,,,,,,,
Brikama,Brikama South,Brikama Bojang Kunda Bantaba,529,,,,,,,,,,,,,,,
Brikama,Brikama South,Brikama Darsilameh (Near Alkalo'S Compound),1831,,,,,,,,,,,,,,,
Brikama,Brikama South,Brikama Gidda (School Area),3074,,,,,,,,,,,,,,,
Brikama,Brikama South,Brikama Gidda Bantaba,2713,,,,,,,,,,,,,,,
Brikama,Brikama South,Brikama Hawla Kunda (Kabilo Head Comp. Gate),825,,,,,,,,,,,,,,,
Brikama,Brikama South,Brikama Mansaringsu Bantaba,729,,,,,,,,,,,,,,,
Brikama,Brikama South,Brikama Medina Bantaba,1769,,,,,,,,,,,,,,,
Brikama,Brikama South,Brikama Newtown South Mosque,1743,,,,,,,,,,,,,,,
Brikama,Brikama South,Brikama Perseverance Bantaba,2216,,,,,,,,,,,,,,,
Brikama,Brikama South,Brikama Sanneh Kunda Bantaba,2065,,,,,,,,,,,,,,,
Brikama,Brikama South,Brikama Santuso Nursery Sch.,1310,,,,,,,,,,,,,,,
Brikama,Brikama South,Brikama Suma Kunda Bantaba,1324,,,,,,,,,,,,,,,
Brikama,Brikama South,Busura Clinic,1744,,,,,,,,,,,,,,,
Brikama,Brikama South,Darsilameh Health Centre,2064,,,,,,,,,,,,,,,
Brikama,Brikama South,Jamwelly Bantaba,1546,,,,,,,,,,,,,,,
Brikama,Brikama South,Kabakel Outside Sch,417,,,,,,,,,,,,,,,
Brikama,Brikama South,Kitty Bantaba,2597,,,,,,,,,,,,,,,
Brikama,Brikama South,Manduar Bantaba,2963,,,,,,,,,,,,,,,
Brikama,Brikama South,Marakissa Bantaba,1683,,,,,,,,,,,,,,,
Brikama,Brikama South,Penyem  Bantaba,868,,,,,,,,,,,,,,,
Brikama,Busumbala,Banjulunding Comm. Centre.,2430,,,,,,,,,,,,,,,
Brikama,Busumbala,Banjulunding Seed Store,2067,,,,,,,,,,,,,,,
